"x","y","z","mx","my","mz"
0,0,-10.5,0.00080857,-0.0020053,-1
0.0915,0,-10.5,0.0066204,0.0068733,-0.99892
0.183,0,-10.5,0.012432,0.015752,-0.99784
0.2745,0,-10.5,0.018244,0.02463,-0.99677
0.366,0,-10.5,0.024056,0.033509,-0.99569
0.4575,0,-10.5,0.029868,0.042388,-0.99461
0.549,0,-10.5,0.035679,0.051266,-0.99354
0.6405,0,-10.5,0.041491,0.060145,-0.99246
0.732,0,-10.5,0.047303,0.069023,-0.99138
0.8235,0,-10.5,0.053115,0.077902,-0.99031
0.915,0,-10.5,0.058927,0.08678,-0.98923
1.0065,0,-10.5,0.064738,0.095659,-0.98815
1.098,0,-10.5,0.07055,0.10454,-0.98708
1.1895,0,-10.5,0.076383,0.11324,-0.9856
1.281,0,-10.5,0.082252,0.12164,-0.98341
1.3725,0,-10.5,0.088122,0.13004,-0.98122
1.464,0,-10.5,0.093991,0.13844,-0.97903
1.5555,0,-10.5,0.099861,0.14683,-0.97684
1.647,0,-10.5,0.10573,0.15523,-0.97465
1.7385,0,-10.5,0.1116,0.16363,-0.97246
1.83,0,-10.5,0.11747,0.17203,-0.97026
1.9215,0,-10.5,0.12334,0.18042,-0.96807
2.013,0,-10.5,0.12921,0.18882,-0.96588
2.1045,0,-10.5,0.13508,0.19722,-0.96369
2.196,0,-10.5,0.14095,0.20561,-0.9615
2.2875,0,-10.5,0.14682,0.21401,-0.95931
2.379,0,-10.5,0.15259,0.22238,-0.95675
2.4705,0,-10.5,0.15834,0.23074,-0.95408
2.562,0,-10.5,0.16408,0.2391,-0.9514
2.6535,0,-10.5,0.16983,0.24746,-0.94872
2.745,0,-10.5,0.17557,0.25582,-0.94604
2.8365,0,-10.5,0.18131,0.26418,-0.94337
2.928,0,-10.5,0.18706,0.27254,-0.94069
3.0195,0,-10.5,0.19276,0.28041,-0.93706
3.111,0,-10.5,0.19845,0.28825,-0.93337
3.2025,0,-10.5,0.20414,0.29609,-0.92969
3.294,0,-10.5,0.20984,0.30393,-0.92601
3.3855,0,-10.5,0.21553,0.31178,-0.92233
3.477,0,-10.5,0.22112,0.31941,-0.91815
3.5685,0,-10.5,0.22668,0.32698,-0.91381
3.66,0,-10.5,0.23223,0.33455,-0.90946
3.7515,0,-10.5,0.23779,0.34211,-0.90512
3.843,0,-10.5,0.24334,0.34968,-0.90078
3.9345,0,-10.5,0.24889,0.35725,-0.89643
4.026,0,-10.5,0.25445,0.36482,-0.89209
4.1175,0,-10.5,0.26,0.37238,-0.88775
4.209,0,-10.5,0.26549,0.3799,-0.88331
4.3005,0,-10.5,0.27051,0.38703,-0.87819
4.392,0,-10.5,0.27554,0.39416,-0.87307
4.4835,0,-10.5,0.28056,0.40129,-0.86796
4.575,0,-10.5,0.28559,0.40842,-0.86284
4.6665,0,-10.5,0.29061,0.41555,-0.85773
4.758,0,-10.5,0.29564,0.42268,-0.85261
4.8495,0,-10.5,0.30066,0.42982,-0.84749
4.941,0,-10.5,0.30569,0.43695,-0.84238
5.0325,0,-10.5,0.31071,0.44408,-0.83726
5.124,0,-10.5,0.31574,0.45121,-0.83215
5.2155,0,-10.5,0.32075,0.45808,-0.82672
5.307,0,-10.5,0.32573,0.46461,-0.82089
5.3985,0,-10.5,0.33072,0.47115,-0.81507
5.49,0,-10.5,0.3357,0.47768,-0.80924
5.5815,0,-10.5,0.34047,0.48408,-0.8033
5.673,0,-10.5,0.34485,0.49025,-0.79716
5.7645,0,-10.5,0.34924,0.49641,-0.79102
5.856,0,-10.5,0.35362,0.50258,-0.78488
5.9475,0,-10.5,0.35801,0.50874,-0.77874
6.039,0,-10.5,0.36239,0.51491,-0.77261
6.1305,0,-10.5,0.36678,0.52107,-0.76647
