"x","y","z","mx","my","mz"
0,0,0,-7.1246e-05,-0.0010689,-1
9e-04,0,0,-5.6964e-05,0.0090267,-0.99932
0.0018,0,0,-4.2682e-05,0.019122,-0.99864
0.0027,0,0,-2.8401e-05,0.029218,-0.99797
0.0036,0,0,-1.4119e-05,0.039314,-0.99729
0.0045,0,0,1.6271e-07,0.049409,-0.99661
0.0054,0,0,1.4444e-05,0.059505,-0.99593
0.0063,0,0,2.8726e-05,0.069601,-0.99525
0.0072,0,0,4.3008e-05,0.079696,-0.99458
0.0081,0,0,5.7289e-05,0.089792,-0.9939
0.009,0,0,7.1571e-05,0.099888,-0.99322
0.0099,0,0,8.5853e-05,0.10998,-0.99254
0.0108,0,0,0.00010494,0.12,-0.99168
0.0117,0,0,0.00012536,0.12995,-0.99055
0.0126,0,0,0.00013322,0.13974,-0.98841
0.0135,0,0,0.00014109,0.14953,-0.98627
0.0144,0,0,0.00014896,0.15933,-0.98414
0.0153,0,0,0.00015683,0.16912,-0.982
0.0162,0,0,0.00016469,0.17891,-0.97986
0.0171,0,0,0.00017256,0.1887,-0.97772
0.018,0,0,0.00018043,0.1985,-0.97558
0.0189,0,0,0.0001883,0.20829,-0.97345
0.0198,0,0,0.00019616,0.21808,-0.97131
0.0207,0,0,0.00020403,0.22787,-0.96917
0.0216,0,0,0.0002119,0.23767,-0.96703
0.0225,0,0,0.00021977,0.24746,-0.9649
0.0234,0,0,0.00022763,0.25725,-0.96276
0.0243,0,0,0.0002355,0.26705,-0.96062
0.0252,0,0,0.00024257,0.27684,-0.95848
0.0261,0,0,0.00024704,0.28664,-0.95631
0.027,0,0,0.0002515,0.29644,-0.95415
0.0279,0,0,0.00018338,0.30611,-0.95165
0.0288,0,0,9.9006e-05,0.31521,-0.94773
0.0297,0,0,5.7895e-05,0.32435,-0.94378
0.0306,0,0,1.6784e-05,0.33348,-0.93983
0.0315,0,0,-2.4327e-05,0.34262,-0.93587
0.0324,0,0,-6.5438e-05,0.35175,-0.93192
0.0333,0,0,-0.00010655,0.36089,-0.92797
0.0342,0,0,-0.00014766,0.37002,-0.92402
0.0351,0,0,-0.00018877,0.37916,-0.92006
0.036,0,0,-0.00022988,0.38829,-0.91611
0.0369,0,0,-0.00027099,0.39743,-0.91216
