"x","y","z","mx","my","mz"
0,0,-0.1,-0.0015583,0.00071512,-1
9e-04,0,-0.1,0.004392,0.0092247,-0.99927
0.0018,0,-0.1,0.010342,0.017734,-0.99854
0.0027,0,-0.1,0.016292,0.026244,-0.99782
0.0036,0,-0.1,0.022243,0.034753,-0.99709
0.0045,0,-0.1,0.028193,0.043263,-0.99636
0.0054,0,-0.1,0.034143,0.051772,-0.99563
0.0063,0,-0.1,0.040093,0.060282,-0.9949
0.0072,0,-0.1,0.046044,0.068792,-0.99418
0.0081,0,-0.1,0.051994,0.077301,-0.99345
0.009,0,-0.1,0.057944,0.085811,-0.99272
0.0099,0,-0.1,0.063894,0.09432,-0.99199
0.0108,0,-0.1,0.069715,0.10282,-0.99108
0.0117,0,-0.1,0.075436,0.11128,-0.98988
0.0126,0,-0.1,0.081052,0.11956,-0.98763
0.0135,0,-0.1,0.086669,0.12785,-0.98538
0.0144,0,-0.1,0.092285,0.13613,-0.98313
0.0153,0,-0.1,0.097902,0.14441,-0.98088
0.0162,0,-0.1,0.10352,0.15269,-0.97862
0.0171,0,-0.1,0.10913,0.16098,-0.97637
0.018,0,-0.1,0.11475,0.16926,-0.97412
0.0189,0,-0.1,0.12037,0.17754,-0.97187
0.0198,0,-0.1,0.12598,0.18582,-0.96962
0.0207,0,-0.1,0.1316,0.19411,-0.96737
0.0216,0,-0.1,0.13722,0.20239,-0.96511
0.0225,0,-0.1,0.14283,0.21067,-0.96286
0.0234,0,-0.1,0.14845,0.21896,-0.96061
0.0243,0,-0.1,0.15407,0.22724,-0.95836
0.0252,0,-0.1,0.15968,0.23552,-0.9561
0.0261,0,-0.1,0.16528,0.24382,-0.95382
0.027,0,-0.1,0.17089,0.25211,-0.95154
0.0279,0,-0.1,0.17637,0.26035,-0.94891
0.0288,0,-0.1,0.18145,0.26808,-0.94481
0.0297,0,-0.1,0.18661,0.2758,-0.94068
0.0306,0,-0.1,0.19177,0.28351,-0.93654
0.0315,0,-0.1,0.19693,0.29122,-0.93241
