"x","y","z","mx","my","mz"
0.9,0,-0.1,-0.47946,-0.79492,0.37178
0.9,0,-0.0998,-0.47843,-0.79563,0.37142
0.9,0,-0.0996,-0.4774,-0.79635,0.37105
0.9,0,-0.0994,-0.47637,-0.79706,0.37069
0.9,0,-0.0992,-0.47534,-0.79778,0.37033
0.9,0,-0.099,-0.47431,-0.7985,0.36996
0.9,0,-0.0988,-0.47328,-0.79921,0.3696
0.9,0,-0.0986,-0.47225,-0.79993,0.36923
0.9,0,-0.0984,-0.47121,-0.80064,0.36887
0.9,0,-0.0982,-0.47018,-0.80136,0.3685
0.9,0,-0.098,-0.46915,-0.80207,0.36814
0.9,0,-0.0978,-0.46812,-0.80279,0.36778
0.9,0,-0.0976,-0.46709,-0.8035,0.36741
0.9,0,-0.0974,-0.46606,-0.80422,0.36705
0.9,0,-0.0972,-0.46503,-0.80493,0.36668
0.9,0,-0.097,-0.464,-0.80565,0.36632
0.9,0,-0.0968,-0.46297,-0.80636,0.36596
0.9,0,-0.0966,-0.46194,-0.80708,0.36559
0.9,0,-0.0964,-0.46091,-0.80779,0.36523
0.9,0,-0.0962,-0.45988,-0.80851,0.36486
0.9,0,-0.096,-0.45885,-0.80922,0.3645
0.9,0,-0.0958,-0.45782,-0.80994,0.36413
0.9,0,-0.0956,-0.45679,-0.81066,0.36377
0.9,0,-0.0954,-0.45576,-0.81137,0.36341
0.9,0,-0.0952,-0.45472,-0.81209,0.36304
0.9,0,-0.095,-0.45369,-0.8128,0.36268
0.9,0,-0.0948,-0.45266,-0.81352,0.36231
0.9,0,-0.0946,-0.45163,-0.81423,0.36195
0.9,0,-0.0944,-0.4506,-0.81495,0.36159
0.9,0,-0.0942,-0.44957,-0.81566,0.36122
0.9,0,-0.094,-0.44854,-0.81638,0.36086
0.9,0,-0.0938,-0.44751,-0.81709,0.36049
0.9,0,-0.0936,-0.44648,-0.81781,0.36013
0.9,0,-0.0934,-0.44545,-0.81852,0.35976
0.9,0,-0.0932,-0.44442,-0.81924,0.3594
0.9,0,-0.093,-0.44339,-0.81995,0.35904
0.9,0,-0.0928,-0.44236,-0.82067,0.35867
0.9,0,-0.0926,-0.44133,-0.82138,0.35831
0.9,0,-0.0924,-0.4403,-0.8221,0.35794
0.9,0,-0.0922,-0.43927,-0.82282,0.35758
0.9,0,-0.092,-0.43824,-0.82353,0.35722
0.9,0,-0.0918,-0.4372,-0.82425,0.35685
0.9,0,-0.0916,-0.43617,-0.82496,0.35649
0.9,0,-0.0914,-0.43514,-0.82568,0.35612
0.9,0,-0.0912,-0.43411,-0.82639,0.35576
0.9,0,-0.091,-0.43308,-0.82711,0.35539
0.9,0,-0.0908,-0.43205,-0.82782,0.35503
0.9,0,-0.0906,-0.43102,-0.82854,0.35467
0.9,0,-0.0904,-0.42999,-0.82925,0.3543
0.9,0,-0.0902,-0.42896,-0.82997,0.35394
0.9,0,-0.09,-0.42793,-0.83068,0.35357
0.9,0,-0.0898,-0.4269,-0.8314,0.35321
0.9,0,-0.0896,-0.42587,-0.83211,0.35284
0.9,0,-0.0894,-0.42484,-0.83283,0.35248
0.9,0,-0.0892,-0.42381,-0.83354,0.35212
0.9,0,-0.089,-0.42278,-0.83426,0.35175
0.9,0,-0.0888,-0.42175,-0.83497,0.35139
0.9,0,-0.0886,-0.42071,-0.83569,0.35102
0.9,0,-0.0884,-0.41968,-0.83641,0.35066
0.9,0,-0.0882,-0.41865,-0.83712,0.3503
0.9,0,-0.088,-0.41762,-0.83784,0.34993
0.9,0,-0.0878,-0.41659,-0.83855,0.34957
0.9,0,-0.0876,-0.41556,-0.83927,0.3492
0.9,0,-0.0874,-0.41453,-0.83998,0.34884
0.9,0,-0.0872,-0.4135,-0.8407,0.34847
0.9,0,-0.087,-0.41247,-0.84141,0.34811
0.9,0,-0.0868,-0.41144,-0.84213,0.34775
0.9,0,-0.0866,-0.41041,-0.84284,0.34738
0.9,0,-0.0864,-0.40938,-0.84356,0.34702
0.9,0,-0.0862,-0.40835,-0.84427,0.34665
0.9,0,-0.086,-0.40732,-0.84499,0.34629
0.9,0,-0.0858,-0.40629,-0.8457,0.34593
0.9,0,-0.0856,-0.40524,-0.84632,0.34564
0.9,0,-0.0854,-0.40417,-0.84686,0.34542
0.9,0,-0.0852,-0.40311,-0.84739,0.3452
0.9,0,-0.085,-0.40205,-0.84793,0.34498
0.9,0,-0.0848,-0.40098,-0.84847,0.34476
0.9,0,-0.0846,-0.39992,-0.84901,0.34454
0.9,0,-0.0844,-0.39885,-0.84955,0.34432
0.9,0,-0.0842,-0.39779,-0.85009,0.3441
0.9,0,-0.084,-0.39673,-0.85062,0.34388
0.9,0,-0.0838,-0.39566,-0.85116,0.34366
0.9,0,-0.0836,-0.3946,-0.8517,0.34344
0.9,0,-0.0834,-0.39354,-0.85224,0.34322
0.9,0,-0.0832,-0.39247,-0.85278,0.343
0.9,0,-0.083,-0.39141,-0.85331,0.34278
0.9,0,-0.0828,-0.39034,-0.85385,0.34256
0.9,0,-0.0826,-0.38928,-0.85439,0.34234
0.9,0,-0.0824,-0.38822,-0.85493,0.34212
0.9,0,-0.0822,-0.38715,-0.85547,0.3419
0.9,0,-0.082,-0.38609,-0.85601,0.34168
0.9,0,-0.0818,-0.38503,-0.85654,0.34146
0.9,0,-0.0816,-0.38396,-0.85708,0.34124
0.9,0,-0.0814,-0.3829,-0.85762,0.34102
0.9,0,-0.0812,-0.38184,-0.85816,0.3408
0.9,0,-0.081,-0.38077,-0.8587,0.34058
