"x","y","z","mx","my","mz"
0,0,0.1,0.0017503,-0.00098593,-1
9e-04,0,0.1,-0.0040937,0.0075965,-0.99929
0.0018,0,0.1,-0.0099378,0.016179,-0.99858
0.0027,0,0.1,-0.015782,0.024761,-0.99787
0.0036,0,0.1,-0.021626,0.033344,-0.99716
0.0045,0,0.1,-0.02747,0.041926,-0.99645
0.0054,0,0.1,-0.033314,0.050509,-0.99574
0.0063,0,0.1,-0.039158,0.059091,-0.99502
0.0072,0,0.1,-0.045002,0.067673,-0.99431
0.0081,0,0.1,-0.050846,0.076256,-0.9936
0.009,0,0.1,-0.05669,0.084838,-0.99289
0.0099,0,0.1,-0.062534,0.093421,-0.99218
0.0108,0,0.1,-0.068279,0.10201,-0.99127
0.0117,0,0.1,-0.073967,0.11057,-0.99008
0.0126,0,0.1,-0.079725,0.11896,-0.98778
0.0135,0,0.1,-0.085483,0.12736,-0.98549
0.0144,0,0.1,-0.091241,0.13575,-0.98319
0.0153,0,0.1,-0.096999,0.14415,-0.9809
0.0162,0,0.1,-0.10276,0.15254,-0.97861
0.0171,0,0.1,-0.10851,0.16094,-0.97631
0.018,0,0.1,-0.11427,0.16933,-0.97402
0.0189,0,0.1,-0.12003,0.17773,-0.97172
0.0198,0,0.1,-0.12579,0.18612,-0.96943
0.0207,0,0.1,-0.13155,0.19452,-0.96713
0.0216,0,0.1,-0.1373,0.20291,-0.96484
0.0225,0,0.1,-0.14306,0.21131,-0.96255
0.0234,0,0.1,-0.14882,0.2197,-0.96025
0.0243,0,0.1,-0.15458,0.2281,-0.95796
0.0252,0,0.1,-0.16033,0.2365,-0.95566
0.0261,0,0.1,-0.16609,0.2449,-0.95334
0.027,0,0.1,-0.17185,0.25331,-0.95101
0.0279,0,0.1,-0.17755,0.26155,-0.94835
0.0288,0,0.1,-0.18279,0.26927,-0.94419
0.0297,0,0.1,-0.188,0.27706,-0.93998
0.0306,0,0.1,-0.19322,0.28485,-0.93577
0.0315,0,0.1,-0.19843,0.29264,-0.93156
0.0324,0,0.1,-0.20365,0.30042,-0.92736
0.0333,0,0.1,-0.20886,0.30821,-0.92315
0.0342,0,0.1,-0.21408,0.316,-0.91894
0.0351,0,0.1,-0.21929,0.32379,-0.91473
0.036,0,0.1,-0.22451,0.33158,-0.91053
0.0369,0,0.1,-0.22972,0.33937,-0.90632
0.0378,0,0.1,-0.23494,0.34716,-0.90211
0.0387,0,0.1,-0.24015,0.35495,-0.8979
0.0396,0,0.1,-0.24537,0.36274,-0.8937
0.0405,0,0.1,-0.25058,0.37053,-0.88949
0.0414,0,0.1,-0.2558,0.37832,-0.88528
0.0423,0,0.1,-0.26101,0.38611,-0.88107
0.0432,0,0.1,-0.26616,0.39376,-0.87672
0.0441,0,0.1,-0.27093,0.40069,-0.8716
0.045,0,0.1,-0.27571,0.40761,-0.86647
0.0459,0,0.1,-0.28048,0.41453,-0.86135
0.0468,0,0.1,-0.28525,0.42145,-0.85622
0.0477,0,0.1,-0.29003,0.42837,-0.8511
0.0486,0,0.1,-0.2948,0.43529,-0.84598
0.0495,0,0.1,-0.29958,0.44221,-0.84085
0.0504,0,0.1,-0.30435,0.44913,-0.83573
0.0513,0,0.1,-0.30912,0.45606,-0.8306
0.0522,0,0.1,-0.31387,0.46261,-0.82516
0.0531,0,0.1,-0.31859,0.46888,-0.81948
0.054,0,0.1,-0.32331,0.47515,-0.8138
0.0549,0,0.1,-0.32804,0.48142,-0.80811
0.0558,0,0.1,-0.33276,0.4877,-0.80243
0.0567,0,0.1,-0.33748,0.49397,-0.79675
0.0576,0,0.1,-0.34187,0.50026,-0.79068
0.0585,0,0.1,-0.34605,0.50657,-0.78437
0.0594,0,0.1,-0.35023,0.51288,-0.77806
0.0603,0,0.1,-0.35441,0.51919,-0.77176
0.0612,0,0.1,-0.35859,0.5255,-0.76545
0.0621,0,0.1,-0.36277,0.53181,-0.75914
0.063,0,0.1,-0.36695,0.53811,-0.75283
0.0639,0,0.1,-0.37112,0.54442,-0.74653
0.0648,0,0.1,-0.3753,0.55073,-0.74022
0.0657,0,0.1,-0.37931,0.55623,-0.73387
0.0666,0,0.1,-0.38326,0.56152,-0.7275
0.0675,0,0.1,-0.38722,0.56681,-0.72114
0.0684,0,0.1,-0.39117,0.5721,-0.71478
0.0693,0,0.1,-0.39513,0.57739,-0.70841
0.0702,0,0.1,-0.39908,0.58268,-0.70205
0.0711,0,0.1,-0.40304,0.58797,-0.69568
0.072,0,0.1,-0.40702,0.59323,-0.68922
0.0729,0,0.1,-0.41108,0.59838,-0.68238
0.0738,0,0.1,-0.41514,0.60354,-0.67554
0.0747,0,0.1,-0.4192,0.60869,-0.66871
0.0756,0,0.1,-0.42326,0.61385,-0.66187
0.0765,0,0.1,-0.42731,0.619,-0.65503
0.0774,0,0.1,-0.43137,0.62416,-0.6482
0.0783,0,0.1,-0.43471,0.62892,-0.64101
0.0792,0,0.1,-0.43801,0.63367,-0.6338
0.0801,0,0.1,-0.44131,0.63842,-0.6266
0.081,0,0.1,-0.44461,0.64318,-0.6194
0.0819,0,0.1,-0.44792,0.64793,-0.6122
0.0828,0,0.1,-0.45122,0.65268,-0.60499
0.0837,0,0.1,-0.45452,0.65743,-0.59779
0.0846,0,0.1,-0.45786,0.66208,-0.59058
0.0855,0,0.1,-0.46148,0.66602,-0.58331
0.0864,0,0.1,-0.46509,0.66996,-0.57603
0.0873,0,0.1,-0.46871,0.6739,-0.56875
0.0882,0,0.1,-0.47232,0.67784,-0.56148
0.0891,0,0.1,-0.47534,0.68166,-0.554
0.09,0,0.1,-0.47804,0.68541,-0.54642
0.0909,0,0.1,-0.48074,0.68916,-0.53884
0.0918,0,0.1,-0.48344,0.69291,-0.53126
0.0927,0,0.1,-0.48614,0.69666,-0.52368
0.0936,0,0.1,-0.48884,0.70041,-0.5161
0.0945,0,0.1,-0.49154,0.70416,-0.50852
0.0954,0,0.1,-0.49424,0.70791,-0.50093
0.0963,0,0.1,-0.49696,0.71126,-0.49312
0.0972,0,0.1,-0.49969,0.71448,-0.48523
0.0981,0,0.1,-0.50242,0.71771,-0.47735
0.099,0,0.1,-0.50514,0.72094,-0.46946
0.0999,0,0.1,-0.50792,0.72384,-0.46176
0.1008,0,0.1,-0.51075,0.72646,-0.45423
0.1017,0,0.1,-0.51358,0.72909,-0.44669
0.1026,0,0.1,-0.5164,0.73171,-0.43916
0.1035,0,0.1,-0.51906,0.73437,-0.43156
0.1044,0,0.1,-0.52121,0.73713,-0.42375
0.1053,0,0.1,-0.52335,0.73989,-0.41595
0.1062,0,0.1,-0.52549,0.74265,-0.40814
0.1071,0,0.1,-0.52764,0.74541,-0.40033
0.108,0,0.1,-0.52978,0.74817,-0.39252
0.1089,0,0.1,-0.53192,0.75093,-0.38471
0.1098,0,0.1,-0.53406,0.75369,-0.37691
0.1107,0,0.1,-0.53621,0.75645,-0.3691
0.1116,0,0.1,-0.53835,0.75921,-0.36129
0.1125,0,0.1,-0.54036,0.76129,-0.3536
0.1134,0,0.1,-0.54235,0.76325,-0.34594
0.1143,0,0.1,-0.54434,0.7652,-0.33827
0.1152,0,0.1,-0.54633,0.76716,-0.33061
0.1161,0,0.1,-0.54832,0.76911,-0.32295
0.117,0,0.1,-0.5503,0.77107,-0.31528
0.1179,0,0.1,-0.55224,0.77299,-0.30759
0.1188,0,0.1,-0.5539,0.77478,-0.29976
0.1197,0,0.1,-0.55557,0.77656,-0.29193
0.1206,0,0.1,-0.55723,0.77835,-0.2841
0.1215,0,0.1,-0.55889,0.78013,-0.27627
0.1224,0,0.1,-0.56056,0.78192,-0.26844
0.1233,0,0.1,-0.56198,0.78334,-0.26081
0.1242,0,0.1,-0.56332,0.78463,-0.25325
0.1251,0,0.1,-0.56467,0.78593,-0.2457
0.126,0,0.1,-0.56601,0.78723,-0.23814
0.1269,0,0.1,-0.56736,0.78853,-0.23058
0.1278,0,0.1,-0.5687,0.78983,-0.22302
0.1287,0,0.1,-0.57005,0.79113,-0.21546
0.1296,0,0.1,-0.5714,0.79243,-0.20791
0.1305,0,0.1,-0.57274,0.79373,-0.20035
0.1314,0,0.1,-0.57409,0.79503,-0.19279
0.1323,0,0.1,-0.57551,0.79624,-0.18514
0.1332,0,0.1,-0.57684,0.79707,-0.17754
0.1341,0,0.1,-0.57779,0.79763,-0.17001
0.135,0,0.1,-0.57873,0.79819,-0.16247
0.1359,0,0.1,-0.57968,0.79874,-0.15494
0.1368,0,0.1,-0.58062,0.7993,-0.1474
0.1377,0,0.1,-0.58157,0.79985,-0.13987
0.1386,0,0.1,-0.58251,0.80041,-0.13233
0.1395,0,0.1,-0.58345,0.80097,-0.12479
0.1404,0,0.1,-0.5844,0.80152,-0.11726
0.1413,0,0.1,-0.58534,0.80208,-0.10972
0.1422,0,0.1,-0.58629,0.80264,-0.10219
0.1431,0,0.1,-0.58713,0.80306,-0.09475
0.144,0,0.1,-0.58773,0.80318,-0.087538
0.1449,0,0.1,-0.58834,0.80331,-0.080327
0.1458,0,0.1,-0.58894,0.80343,-0.073116
0.1467,0,0.1,-0.58954,0.80355,-0.065905
0.1476,0,0.1,-0.59015,0.80367,-0.058694
0.1485,0,0.1,-0.59075,0.80379,-0.051483
0.1494,0,0.1,-0.59135,0.80392,-0.044272
0.1503,0,0.1,-0.59183,0.80405,-0.036964
0.1512,0,0.1,-0.59219,0.80418,-0.029564
0.1521,0,0.1,-0.59254,0.80432,-0.022163
0.153,0,0.1,-0.5929,0.80445,-0.014763
0.1539,0,0.1,-0.5932,0.80434,-0.0076392
0.1548,0,0.1,-0.59344,0.80398,-0.00079949
0.1557,0,0.1,-0.59368,0.80362,0.0060402
0.1566,0,0.1,-0.59393,0.80324,0.012896
0.1575,0,0.1,-0.59428,0.80256,0.019933
0.1584,0,0.1,-0.59464,0.80188,0.026971
0.1593,0,0.1,-0.59499,0.80121,0.034008
0.1602,0,0.1,-0.59534,0.80053,0.041046
0.1611,0,0.1,-0.59569,0.79985,0.048083
0.162,0,0.1,-0.59604,0.79918,0.05512
0.1629,0,0.1,-0.5964,0.7985,0.062158
0.1638,0,0.1,-0.59675,0.79782,0.069195
0.1647,0,0.1,-0.5971,0.79715,0.076232
0.1656,0,0.1,-0.59716,0.79638,0.082947
0.1665,0,0.1,-0.59697,0.79552,0.08937
0.1674,0,0.1,-0.59677,0.79467,0.095793
0.1683,0,0.1,-0.59658,0.79382,0.10222
0.1692,0,0.1,-0.59638,0.79296,0.10864
0.1701,0,0.1,-0.59619,0.79211,0.11506
0.171,0,0.1,-0.596,0.79126,0.12149
0.1719,0,0.1,-0.5958,0.7904,0.12791
0.1728,0,0.1,-0.59561,0.78955,0.13433
0.1737,0,0.1,-0.59541,0.7887,0.14075
0.1746,0,0.1,-0.59522,0.78784,0.14718
0.1755,0,0.1,-0.59502,0.78699,0.1536
0.1764,0,0.1,-0.59483,0.78614,0.16002
0.1773,0,0.1,-0.59463,0.78528,0.16645
0.1782,0,0.1,-0.59444,0.78443,0.17287
0.1791,0,0.1,-0.59424,0.78358,0.17929
0.18,0,0.1,-0.59397,0.78271,0.18575
0.1809,0,0.1,-0.59342,0.78129,0.19185
0.1818,0,0.1,-0.59288,0.77983,0.19799
0.1827,0,0.1,-0.59235,0.77837,0.20412
0.1836,0,0.1,-0.59181,0.77692,0.21026
0.1845,0,0.1,-0.59127,0.77546,0.21639
0.1854,0,0.1,-0.59074,0.774,0.22253
0.1863,0,0.1,-0.5902,0.77254,0.22866
0.1872,0,0.1,-0.58967,0.77109,0.2348
0.1881,0,0.1,-0.58913,0.76963,0.24093
0.189,0,0.1,-0.5886,0.76817,0.24706
0.1899,0,0.1,-0.58806,0.76671,0.2532
0.1908,0,0.1,-0.58752,0.76525,0.25933
0.1917,0,0.1,-0.58699,0.7638,0.26547
0.1926,0,0.1,-0.58645,0.76234,0.2716
